현재 판매가격(주유소),,,,,,,,,
기준일자 : 20221028,,,,,,,,,(단위 : 원/리터)
,,,,,,,,,
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000631,서울 은평구,지에스칼텍스㈜ 녹번주유소,서울 은평구 통일로 600 (녹번동),GS칼텍스,셀프,1889,1669,1859,0
A0000680,서울 은평구,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,셀프,1957,1695,1855,0
A0000683,서울 은평구,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,셀프,1899,1659,1889,0
A0000686,서울 은평구,현대오일뱅크㈜직영 은평드림주유소,서울 은평구 통일로 1151 (진관동),현대오일뱅크,일반,1957,1662,1847,1670
A0000687,서울 은평구,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SK에너지,셀프,0,1695,1855,1670
A0000690,서울 은평구,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GS칼텍스,셀프,1865,1665,1834,0
A0000704,서울 은평구,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),자가상표,일반,0,1698,1938,0
A0000707,서울 은평구,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),현대오일뱅크,셀프,0,1674,1830,0
A0000725,서울 은평구,불광주유소,서울 은평구 연서로 314 (불광동),현대오일뱅크,셀프,1917,1657,1842,0
A0000745,서울 은평구,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,셀프,0,1695,1855,0
A0005900,서울 은평구,제이제이에너지,서울 은평구 응암로 163,SK에너지,셀프,0,1697,1887,0
A0033131,서울 은평구,뉴타운셀프주유소,서울 은평구 통일로 1031,S-OIL,셀프,0,1695,1875,0
A0000115,서울 마포구,SK에너지(주) 안국주유소,서울 마포구 양화로 33,SK에너지,일반,2029,1769,1979,0
A0000120,서울 마포구,마포주유소,서울 마포구 마포대로 186 (공덕동),S-OIL,일반,0,1999,2199,1899
A0000129,서울 마포구,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),SK에너지,일반,1979,1719,1979,0
A0000139,서울 마포구,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),SK에너지,일반,0,1687,1857,0
A0000146,서울 마포구,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),GS칼텍스,일반,0,1687,1867,0
A0000159,서울 마포구,청원주유소,서울 마포구 월드컵북로 113 (성산동),현대오일뱅크,셀프,2088,1677,1857,0
A0000163,서울 마포구,(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),SK에너지,일반,2150,1729,1939,1781
A0000164,서울 마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),SK에너지,일반,0,1718,1888,0
A0000169,서울 마포구,성산대교셀프주유소,서울 마포구 성산로 144,현대오일뱅크,셀프,0,1677,1847,1798
A0000173,서울 마포구,에스에스오토셀프,서울 마포구 서강로 76 (창전동),현대오일뱅크,셀프,2088,1699,1899,0
A0000182,서울 마포구,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),S-OIL,셀프,0,1699,1899,0
A0032673,서울 마포구,용강주유소,서울 마포구 토정로 258,S-OIL,일반,0,1729,1939,1750
A0000206,서울 용산구,(주)남경주유소,서울 용산구 녹사평대로11길 24,SK에너지,일반,2329,2110,2469,1925
A0000221,서울 용산구,한석주유소,서울 용산구 이촌로 164,SK에너지,일반,2419,2179,2622,0
A0000223,서울 용산구,동자동주유소,서울 용산구 한강대로104길 6 (동자동),SK에너지,일반,2350,1910,1960,1950
A0000225,서울 용산구,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GS칼텍스,일반,2350,2098,2179,1880
A0000228,서울 용산구,에너비스,서울 용산구 한남대로 82 (한남동),SK에너지,일반,2497,2297,2397,0
A0000229,서울 용산구,현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),현대오일뱅크,일반,2283,1877,1889,0
A0000230,서울 용산구,현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),현대오일뱅크,일반,2153,1852,1913,0
A0000232,서울 용산구,현대오일뱅크(주)갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),현대오일뱅크,일반,2358,1911,1959,1799
A0000238,서울 용산구,한남지점,서울 용산구 한남대로21길 4 (한남동),SK에너지,일반,2497,2297,2397,0
A0000240,서울 용산구,현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),현대오일뱅크,일반,2357,1911,1939,0
A0000245,서울 용산구,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),SK에너지,일반,2273,2068,2360,1896
A0000925,서울 용산구,서계주유소,서울 용산구  청파로 367 (청파동),GS칼텍스,일반,3229,2629,2979,2370
A0000261,서울 영등포구,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,GS칼텍스,일반,0,1629,1856,0
A0000279,서울 영등포구,선유도주유소,서울 영등포구 양평로 141 (양평동5가),S-OIL,셀프,0,1674,1867,0
A0000287,서울 영등포구,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),SK에너지,일반,2295,2090,2240,1730
A0000290,서울 영등포구,현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,현대오일뱅크,셀프,1948,1622,1847,1699
A0000292,서울 영등포구,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,GS칼텍스,셀프,1875,1703,1911,0
A0000308,서울 영등포구,KH여의도주유소,서울 영등포구 국회대로 794 (여의도동),SK에너지,일반,2300,2145,2394,0
A0000309,서울 영등포구,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),SK에너지,셀프,0,1659,1859,0
A0000310,서울 영등포구,영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),현대오일뱅크,셀프,0,1627,1827,0
A0000316,서울 영등포구,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,GS칼텍스,일반,2360,2199,2360,1750
A0000323,서울 영등포구,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GS칼텍스,셀프,0,1659,1859,0
A0000324,서울 영등포구,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),GS칼텍스,일반,2240,2038,2158,1900
A0000327,서울 영등포구,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,SK에너지,셀프,1819,1679,1899,0
A0000328,서울 영등포구,현대오일뱅크(주)직영 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),현대오일뱅크,일반,2319,2099,2319,0
A0000346,서울 영등포구,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),GS칼텍스,일반,1779,1629,1856,0
A0000370,서울 영등포구,매봉주유소,서울 영등포구 도신로 248 (신길동),현대오일뱅크,셀프,0,1619,1869,1700
A0000400,서울 영등포구,(주)MS에너지,서울 영등포구 대림로 230,현대오일뱅크,일반,0,1595,1827,0
A0000408,서울 영등포구,행촌주유소,서울 영등포구 도신로 130 (신길동),SK에너지,셀프,0,1609,1817,0
A0000410,서울 영등포구,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),GS칼텍스,셀프,1775,1622,1832,1610
A0000412,서울 영등포구,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),SK에너지,셀프,1835,1595,1817,0
A0000421,서울 영등포구,(주)강서오일,서울 영등포구 도신로 151,현대오일뱅크,일반,0,1609,1816,1625
A0000427,서울 영등포구,영등포제일셀프주유소,서울 영등포구 가마산로 379,현대오일뱅크,셀프,0,1595,1817,0
A0000431,서울 영등포구,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),SK에너지,일반,1779,1649,1859,1640
A0000433,서울 영등포구,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),SK에너지,셀프,1795,1619,1838,0
A0000442,서울 영등포구,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,S-OIL,일반,0,1668,1898,1550
A0000443,서울 영등포구,성락주유소,서울 영등포구 가마산로 414 (신길동),S-OIL,셀프,0,1595,1817,0
A0000444,서울 영등포구,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,셀프,0,1595,1817,0
A0001034,서울 영등포구,도림주유소,서울 영등포구 도림로 343 (도림동),알뜰주유소,셀프,0,1595,1827,0
A0000368,서울 동작구,창원이엔지주유소,서울 동작구 사당로 59 (상도동),현대오일뱅크,일반,0,1669,1857,0
A0000371,서울 동작구,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,GS칼텍스,일반,1804,1644,1880,1600
A0000379,서울 동작구,살피재주유소,서울 동작구 상도로 334,SK에너지,일반,0,1875,1985,0
A0000411,서울 동작구,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),GS칼텍스,셀프,1849,1699,1910,0
A0000425,서울 동작구,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),현대오일뱅크,일반,2029,1707,1889,0
A0000426,서울 동작구,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),현대오일뱅크,셀프,2099,1697,1879,0
A0000428,서울 동작구,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),현대오일뱅크,셀프,1979,1669,1894,0
A0000430,서울 동작구,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),현대오일뱅크,셀프,1992,1697,1869,0
A0009553,서울 동작구,매일주유소,서울 동작구 상도로 139 (상도동),S-OIL,셀프,0,1679,1939,1800
A0000525,서울 강남구,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),GS칼텍스,일반,2838,2598,2590,1850
A0001171,서울 강남구,갤러리아주유소,서울 강남구 압구정로 426,SK에너지,일반,2555,2357,2377,1840
A0001185,서울 강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,일반,2062,1912,2054,0
A0001199,서울 강남구,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),GS칼텍스,셀프,2148,1998,2104,0
A0001202,서울 강남구,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),GS칼텍스,일반,2234,2044,2197,0
A0001213,서울 강남구,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,셀프,1987,1747,1947,0
A0001214,서울 강남구,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),현대오일뱅크,셀프,2059,1909,2029,0
A0001217,서울 강남구,(주)소모에너지 쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,일반,2148,1998,2104,0
A0001219,서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,셀프,0,1663,1839,0
A0001224,서울 강남구,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,GS칼텍스,일반,2155,1798,2098,1820
A0001225,서울 강남구,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,GS칼텍스,일반,2121,1979,2122,0
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,셀프,1997,1797,1997,0
A0009061,서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,일반,1994,1779,1969,0
A0009705,서울 강남구,대교주유소,서울 강남구 강남대로 640 (신사동),SK에너지,셀프,2020,1730,1910,0
A0009707,서울 강남구,(주)새서울네트웍스 제이제이주유소,서울 강남구 언주로 716,현대오일뱅크,일반,2448,2248,2437,0
A0009710,서울 강남구,SK논현주유소,서울 강남구 논현로 747 (논현동),SK에너지,일반,2558,2345,2375,1835
A0009712,서울 강남구,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,셀프,1997,1797,1977,0
A0009715,서울 강남구,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,현대오일뱅크,일반,2397,2198,2289,0
A0009724,서울 강남구,현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),현대오일뱅크,일반,2275,1947,1994,0
A0009725,서울 강남구,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),현대오일뱅크,일반,2289,1898,1984,0
A0009738,서울 강남구,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),현대오일뱅크,셀프,1958,1715,1873,0
A0009828,서울 강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,셀프,0,1697,1929,0
A0009829,서울 강남구,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,셀프,0,1727,1898,0
A0009835,서울 강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,셀프,1945,1716,1888,0
A0009837,서울 강남구,일원주유소,서울 강남구 양재대로55길 3 (일원동),S-OIL,셀프,0,1747,1999,0
A0009838,서울 강남구,현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,현대오일뱅크,셀프,1979,1689,1879,0
